SampleID	Plant	Genotype	Compartment	Description	Soil	Bio_rep	Growth_condition	Library	Experiment
NPK_Lj_WT_1_rhizo	Lotus	WT	Rhizosphere	NPK_Lj_WT_1_rhizo	NPK	1	Lj	first	SYM
NPK_Lj_WT_1_endo	Lotus	WT	Endosphere/Rhizoplane	NPK_Lj_WT_1_endo	NPK	1	Lj	first	SYM
NPK_Lj_WT_1_nod	Lotus	WT	Nodules	NPK_Lj_WT_1_nod	NPK	1	Lj	first	SYM
NPK_Lj_WT_2_rhizo	Lotus	WT	Rhizosphere	NPK_Lj_WT_2_rhizo	NPK	2	Lj	first	SYM
NPK_Lj_WT_2_endo	Lotus	WT	Endosphere/Rhizoplane	NPK_Lj_WT_2_endo	NPK	2	Lj	first	SYM
NPK_Lj_WT_2_nod	Lotus	WT	Nodules	NPK_Lj_WT_2_nod	NPK	2	Lj	first	SYM
NPK_Lj_WT_3_rhizo	Lotus	WT	Rhizosphere	NPK_Lj_WT_3_rhizo	NPK	3	Lj	first	SYM
NPK_Lj_WT_3_endo	Lotus	WT	Endosphere/Rhizoplane	NPK_Lj_WT_3_endo	NPK	3	Lj	first	SYM
NPK_Lj_WT_3_nod	Lotus	WT	Nodules	NPK_Lj_WT_3_nod	NPK	3	Lj	first	SYM
NPK_Lj_WT_4_rhizo	Lotus	WT	Rhizosphere	NPK_Lj_WT_4_rhizo	NPK	4	Lj	first	SYM
NPK_Lj_WT_4_endo	Lotus	WT	Endosphere/Rhizoplane	NPK_Lj_WT_4_endo	NPK	4	Lj	first	SYM
NPK_Lj_WT_4_nod	Lotus	WT	Nodules	NPK_Lj_WT_4_nod	NPK	4	Lj	first	SYM
NPK_Lj_WT_5_rhizo	Lotus	WT	Rhizosphere	NPK_Lj_WT_5_rhizo	NPK	5	Lj	first	SYM
NPK_Lj_WT_5_endo	Lotus	WT	Endosphere/Rhizoplane	NPK_Lj_WT_5_endo	NPK	5	Lj	first	SYM
NPK_Lj_WT_5_nod	Lotus	WT	Nodules	NPK_Lj_WT_5_nod	NPK	5	Lj	first	SYM
NPK_Lj_WT_6_rhizo	Lotus	WT	Rhizosphere	NPK_Lj_WT_6_rhizo	NPK	6	Lj	first	SYM
NPK_Lj_WT_6_endo	Lotus	WT	Endosphere/Rhizoplane	NPK_Lj_WT_6_endo	NPK	6	Lj	first	SYM
NPK_Lj_WT_6_nod	Lotus	WT	Nodules	NPK_Lj_WT_6_nod	NPK	6	Lj	first	SYM
NPK_Lj_symrk_1_rhizo	Lotus	symrk	Rhizosphere	NPK_Lj_symrk_1_rhizo	NPK	1	Lj	first	SYM
NPK_Lj_symrk_1_endo	Lotus	symrk	Endosphere/Rhizoplane	NPK_Lj_symrk_1_endo	NPK	1	Lj	first	SYM
