feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
P4_A8	Genotype	nsp1	3.03893293052516	0.593367633368897	30	30	2.72249590731706e-05	0.00147014778995121
P1_E8	Genotype	ccamk	-1.54933530576346	0.291292059426721	30	29	1.6369549417543e-05	0.00147014778995121
P4_B10	Genotype	ccamk	-1.98002339693159	0.379623415755508	30	29	2.13469648652205e-05	0.00147014778995121
P4_E5	Genotype	ccamk	-1.67028389778793	0.319504456683094	30	29	2.06979889553993e-05	0.00147014778995121
P4_A8	Genotype	nsp2	2.66207001803147	0.593367633368897	30	30	0.000141085227858684	0.00609488184349514
P4_A8	Genotype	symrk	2.53116089072975	0.593367633368897	30	30	0.000249761714438302	0.00674356628983416
P4_B10	Genotype	nsp2	-1.64989038665139	0.379623415755508	30	29	0.000202883090017709	0.00674356628983416
P4_E5	Genotype	nsp1	-1.37159435687439	0.319504456683094	30	29	0.000232845637774017	0.00674356628983416
P1_E8	Genotype	nsp1	-1.21499254663447	0.291292059426721	30	29	0.000318970653992261	0.00765529569581426
P4_H7	Genotype	ccamk	1.82577146514978	0.442397880526894	30	6	0.000357347578099587	0.00771870768695109
P2_B1	Genotype	ccamk	-1.98777577653996	0.487023151021828	30	26	0.000401792086818002	0.00788973552297168
P1_A1	Genotype	nsp1	1.53456262399756	0.391699829647845	30	30	0.000611875450845102	0.0101665459525032
P4_F10	Genotype	nsp1	2.27449851885844	0.576213246137057	30	29	0.000567153328120703	0.0101665459525032
P1_A1	Genotype	symrk	1.50396819261219	0.391699829647845	30	30	0.000747150029019882	0.0115274575905925
P5_A1	Genotype	nsp2	-1.31988165177363	0.350152186829239	30	30	0.000893448810923742	0.0121903978200272
P5_A10	Genotype	ccamk	-1.5991500452534	0.424709815927064	30	29	0.000902992431113129	0.0121903978200272
P1_A1	Genotype	ccamk	1.45039267575307	0.391699829647845	30	30	0.00105832022025329	0.0134468922102772
P5_B10	Genotype	ccamk	2.11854299386814	0.610233609147498	30	18	0.00189526669825884	0.0227432003791061
P1_A8	Genotype	nsp1	-1.07375899320002	0.313171261783577	30	30	0.00211046802586677	0.0239926891361696
P1_E8	Genotype	symrk	-0.911771877416073	0.291292059426721	30	29	0.00440791801171558	0.0453385852633603
P4_B10	Genotype	nsp1	-1.19323659580661	0.379623415755508	30	29	0.00426929035539544	0.0453385852633603
P2_H11	Genotype	nsp1	-1.43774132971956	0.464683979602284	30	30	0.00481186707507998	0.0458136141427615
P1_A8	Genotype	symrk	-0.967187608460015	0.313171261783577	30	30	0.0048783015059422	0.0458136141427615
P2_H11	Genotype	ccamk	-1.37236045670131	0.464683979602284	30	30	0.00675288473198001	0.0583226806836919
P1_A8	Genotype	nsp2	-0.915568735925231	0.313171261783577	30	30	0.00725020319392228	0.0583226806836919
P4_B10	Genotype	symrk	-1.12131891015981	0.379623415755508	30	29	0.00674568105062129	0.0583226806836919
P4_B2	Genotype	ccamk	-1.09596006389731	0.375171723626763	30	29	0.00729033508546148	0.0583226806836919
P4_C7	Genotype	ccamk	1.06176197248669	0.375667991533147	30	30	0.00912710437274877	0.0704090908754905
P4_E4	Genotype	nsp1	2.21456974513514	0.79642602212349	30	24	0.0101605149094488	0.075678317946239
P2_H9	Genotype	nsp1	1.34666683902479	0.487842207049247	30	6	0.0106511796576438	0.0766884935350357
P2_D12	Genotype	ccamk	-1.25820595394091	0.459256075627201	30	29	0.0111801374179712	0.0779003123316705
P1_A1	Genotype	nsp2	1.05540003683433	0.391699829647845	30	30	0.0124178140946708	0.0795181545246491
P1_E1	Genotype	symrk	-0.83912090172356	0.311820793633014	30	29	0.0125150912215561	0.0795181545246491
P1_C1	Genotype	nsp2	-1.08225710215536	0.402179760165797	30	29	0.0125167465455466	0.0795181545246491
P4_E4	Genotype	ccamk	2.11882826197528	0.79642602212349	30	24	0.0134308914982085	0.0828877875318009
P5_B3.P4_C1	Genotype	symrk	1.82584542292848	0.692984490548875	30	29	0.0142465894739764	0.0854795368438581
P4_C7	Genotype	symrk	0.940869046595102	0.375667991533148	30	30	0.0191476339075626	0.0919086427563003
P1_C1	Genotype	symrk	-1.02292456167001	0.402179760165797	30	29	0.0175391745537321	0.0919086427563003
P1_E8	Genotype	nsp2	-0.7432102557006	0.291292059426721	30	29	0.017225539324208	0.0919086427563003
P5_A10	Genotype	symrk	-1.09132438185789	0.424709815927065	30	29	0.0165311126431994	0.0919086427563003
P5_A10	Genotype	nsp2	-1.09282854342343	0.424709815927064	30	29	0.0163986855992961	0.0919086427563003
P4_D7	Genotype	symrk	2.42960923940651	0.964819033653332	30	26	0.0185674511991778	0.0919086427563003
P4_D7	Genotype	nsp2	2.42414273479898	0.964819033653332	30	26	0.0188057518701422	0.0919086427563003
P4_C9	Genotype	symrk	1.39063678057925	0.554897007849653	30	27	0.0190791665942431	0.0919086427563003
P3_C6	Genotype	ccamk	-2.85648659238584	1.1279184617152	30	16	0.0179772985957466	0.0919086427563003
P4_B2	Genotype	nsp2	-0.924340445043299	0.375171723626763	30	29	0.0209766865987788	0.0984992240290485
P4_D7	Genotype	ccamk	2.32548356404895	0.964819033653332	30	26	0.0236237301482706	0.108568632170776
P4_B4	Genotype	symrk	1.61823490859965	0.687551365821307	30	29	0.0267594455166845	0.12041750482508
P4_C9	Genotype	nsp1	1.30047288650445	0.554897007849653	30	27	0.0273504232466704	0.120565131046547
P5_D10	Genotype	nsp2	-1.6787789444907	0.725503608905956	30	25	0.0291770683590935	0.126044935311284
P5_A1	Genotype	symrk	-0.78679291125389	0.350152186829239	30	30	0.0337125123328722	0.133655071574605
P4_A8	Genotype	ccamk	1.32077232197348	0.593367633368897	30	30	0.0352700883321873	0.133655071574605
P1_E1	Genotype	ccamk	-0.70400126592112	0.311820793633014	30	29	0.0329465092537971	0.133655071574605
P4_B2	Genotype	symrk	-0.849299641843006	0.375171723626763	30	29	0.0325206606673705	0.133655071574605
P4_B2	Genotype	nsp1	-0.841846300535315	0.375171723626763	30	29	0.0339377531457737	0.133655071574605
P4_F10	Genotype	ccamk	1.2889358122728	0.576213246137057	30	29	0.0344493943382562	0.133655071574605
P2_C2.P4_E2	Genotype	nsp1	2.1456779920568	0.963373868493579	30	20	0.0351676959219905	0.133655071574605
P1_E1	Genotype	nsp2	-0.678786181116407	0.311820793633014	30	29	0.0391428671881231	0.145773436424734
P2_A1	Genotype	ccamk	2.13220720058187	0.988904019311689	30	19	0.0408907206739904	0.149701621450541
P1_D3	Genotype	nsp1	1.38605991165848	0.649146438358287	30	29	0.0427273945855604	0.153818620508017
P3_A2	Genotype	symrk	-1.86899227836981	0.889981901102758	30	14	0.0459810315892553	0.16281807907015
P4_C9	Genotype	ccamk	1.15947899115459	0.554897007849653	30	27	0.0469939355210593	0.163720807621755
P2_H12	Genotype	nsp1	1.5973502358275	0.773844967390325	30	7	0.0495246845783567	0.169798918554366
P2_B1	Genotype	nsp2	-0.997310168521953	0.487023151021828	30	26	0.0512254158402777	0.172885778460937
P2_B12	Genotype	nsp2	-0.87592897185357	0.438825014550811	30	26	0.0569274989902481	0.185319094219493
P5_B10	Genotype	nsp2	1.21515104442647	0.610233609147498	30	18	0.0574832375588243	0.185319094219493
P4_B5	Genotype	nsp2	1.81190555822923	0.905042428178002	30	28	0.0562456077041262	0.185319094219493
P4_C7	Genotype	nsp1	0.743340071424735	0.375667991533148	30	30	0.0589648407049431	0.187300082239231
P4_B5	Genotype	symrk	1.76497295763246	0.905042428178003	30	28	0.0624559519494642	0.19085811203284
P1_C2	Genotype	nsp2	-0.734325188204574	0.376977787242343	30	29	0.0627357683070911	0.19085811203284
P2_H9	Genotype	nsp2	0.95496488713857	0.487842207049247	30	6	0.0615377240407423	0.19085811203284
